household_id,household_size,income_level,property_type,dwelling_area_sqm,num_occupants_work_from_home,has_air_conditioner,has_electric_heating,has_ev,num_major_appliances,temperature_c,electricity_price_per_kwh,daily_consumption_kwh
1,3,low,house,121.2,0,1,0,0,8,15.0,0.337,10.61
2,1,middle,house,49.0,2,0,0,0,14,4.1,0.117,10.69
3,2,high,house,102.0,2,1,1,0,8,-4.6,0.138,14.23
4,4,middle,house,78.9,0,0,0,0,6,5.9,0.183,11.71
5,1,middle,house,128.9,1,1,0,1,8,28.6,0.248,13.09
6,1,middle,apartment,35.0,0,1,1,0,9,5.3,0.259,8.11
7,1,middle,house,77.4,2,0,0,0,9,39.9,0.275,9.66
8,6,middle,house,135.2,2,0,1,0,11,15.3,0.093,16.0
9,6,middle,house,105.9,0,0,0,1,10,20.2,0.196,14.63
10,4,middle,apartment,115.1,1,1,0,1,14,32.0,0.199,15.42
11,3,low,house,108.1,2,1,1,1,14,29.0,0.291,15.29
12,4,low,house,179.5,2,1,0,0,5,6.8,0.191,11.99
13,2,middle,house,123.3,2,0,0,0,9,25.2,0.227,9.91
14,2,middle,house,130.4,2,1,0,0,13,26.5,0.246,10.82
15,3,high,house,96.3,0,1,0,0,10,8.1,0.2,10.56
16,6,low,house,102.4,0,1,0,0,5,27.1,0.267,13.72
17,1,low,house,148.7,0,1,0,0,11,27.4,0.176,10.41
18,5,middle,house,95.0,0,1,0,0,9,9.4,0.214,11.13
19,5,middle,house,35.0,2,1,0,0,6,16.6,0.341,10.84
20,6,high,apartment,100.2,0,1,0,0,9,13.8,0.323,10.46
21,1,middle,house,64.5,0,1,0,0,13,25.2,0.289,7.86
22,3,low,house,83.2,0,0,0,1,10,9.8,0.086,12.19
23,2,middle,house,47.4,2,1,0,0,14,18.2,0.119,10.57
24,3,high,house,129.0,2,0,1,0,11,34.2,0.23,10.86
25,3,middle,apartment,104.6,1,0,1,0,10,25.6,0.261,10.11
26,3,middle,house,51.2,0,1,1,0,10,26.8,0.125,10.13
27,5,low,house,124.5,1,0,1,0,7,11.2,0.289,14.54
28,2,low,house,35.0,2,1,0,0,5,29.1,0.208,7.87
29,4,middle,house,98.9,1,1,0,0,8,13.5,0.176,10.54
30,3,middle,house,146.9,1,1,0,1,6,1.5,0.32,12.58
31,6,middle,house,66.7,0,1,0,0,5,21.8,0.169,11.69
32,1,low,apartment,163.6,2,1,1,0,5,27.4,0.256,9.39
33,2,middle,house,104.2,0,1,0,1,11,27.9,0.171,12.87
34,6,low,apartment,132.5,0,0,0,0,14,-0.5,0.323,14.64
35,3,middle,apartment,173.0,0,0,0,0,11,6.5,0.21,11.3
36,1,high,house,142.6,1,0,1,0,7,20.0,0.212,8.73
37,4,high,apartment,99.0,0,0,0,0,14,12.8,0.212,11.57
38,1,middle,apartment,109.8,0,1,0,0,9,3.4,0.216,8.13
39,4,low,house,119.6,2,1,0,0,14,0.3,0.145,13.1
40,2,low,house,130.8,0,1,0,0,6,16.9,0.313,9.82
41,4,middle,house,143.7,2,1,0,0,8,34.2,0.273,13.61
42,1,middle,house,35.0,1,1,0,0,13,36.3,0.117,10.33
43,6,middle,house,85.0,2,1,0,1,13,21.3,0.328,16.89
44,5,middle,house,127.5,0,1,1,0,14,4.0,0.216,14.28
45,2,middle,house,75.4,0,0,0,1,8,36.9,0.266,10.81
46,6,high,house,125.3,0,0,1,0,7,7.2,0.139,13.55
47,5,middle,house,114.1,1,1,1,1,9,36.9,0.25,16.29
48,5,middle,house,146.7,1,1,1,0,10,11.0,0.134,14.52
49,1,low,house,116.3,0,0,0,0,6,10.3,0.152,7.38
50,1,middle,house,73.5,1,0,1,0,13,13.3,0.253,10.86
51,2,middle,house,97.3,0,0,1,1,12,-0.3,0.165,13.16
52,3,high,apartment,133.6,1,1,1,0,12,11.5,0.306,12.11
53,5,middle,apartment,71.3,0,0,1,0,13,20.1,0.263,13.58
54,6,low,apartment,81.9,2,1,0,0,12,36.4,0.117,16.46
55,1,middle,house,142.5,2,0,0,0,14,25.6,0.179,11.79
56,1,high,house,170.3,2,1,0,0,14,34.6,0.321,13.1
57,6,low,apartment,111.6,0,0,1,0,6,19.2,0.209,10.69
58,6,middle,apartment,80.8,2,0,0,0,6,11.4,0.133,13.42
59,2,middle,house,142.6,2,1,0,0,5,13.1,0.237,10.55
60,2,middle,house,52.7,0,0,0,0,6,15.6,0.158,8.27
61,2,middle,house,130.2,1,0,0,0,7,24.3,0.201,9.02
62,6,middle,house,113.4,2,1,1,0,9,24.5,0.218,14.16
63,6,middle,apartment,171.6,1,0,0,0,13,20.6,0.083,15.19
64,3,low,house,126.1,2,1,0,0,7,36.5,0.147,12.92
65,4,low,apartment,66.1,0,1,1,0,10,21.9,0.284,10.27
66,5,low,house,59.3,2,1,1,0,13,-5.9,0.278,15.52
67,5,middle,apartment,94.8,2,1,0,0,8,17.0,0.252,12.5
68,4,low,house,38.0,2,1,0,0,9,24.1,0.333,11.22
69,4,middle,house,111.7,0,1,1,0,9,30.1,0.323,10.43
70,1,middle,apartment,91.5,2,0,0,0,5,30.0,0.284,8.11
71,1,middle,apartment,42.2,1,1,0,0,13,30.4,0.284,8.9
72,1,middle,house,139.1,0,1,0,0,5,25.4,0.162,8.11
73,1,middle,house,140.9,2,1,0,0,5,7.6,0.19,9.93
74,3,middle,apartment,114.0,0,1,0,1,14,14.7,0.096,12.89
75,3,middle,house,101.2,2,1,0,0,14,11.7,0.198,11.66
76,4,low,apartment,137.4,1,1,0,0,6,9.0,0.157,11.4
77,1,middle,house,99.2,1,1,1,0,13,-4.2,0.103,13.25
78,6,middle,house,83.5,1,1,0,0,12,13.1,0.316,12.31
79,6,low,apartment,100.2,1,0,0,1,13,17.3,0.272,15.61
80,1,low,apartment,75.7,1,0,1,0,12,21.8,0.224,8.88
81,6,low,apartment,113.2,1,1,0,0,8,30.1,0.271,15.11
82,2,middle,house,121.3,0,1,1,1,12,22.5,0.107,13.08
83,5,high,apartment,67.7,0,0,0,1,8,6.6,0.167,13.4
84,2,low,apartment,80.8,0,1,0,0,13,29.5,0.131,10.12
85,5,low,house,52.4,0,1,1,0,8,11.3,0.3,12.8
86,3,middle,house,159.7,1,1,0,0,6,22.1,0.225,10.36
87,3,middle,apartment,136.6,2,0,0,0,14,7.1,0.119,13.01
88,5,middle,house,83.6,1,0,0,1,11,6.1,0.17,15.24
89,5,high,house,102.0,1,1,0,0,13,18.1,0.325,13.66
90,3,high,house,92.6,1,1,0,0,8,0.0,0.251,10.18
91,1,middle,apartment,107.2,1,1,0,0,12,18.5,0.093,10.16
92,5,low,apartment,104.6,0,1,0,1,13,8.9,0.165,14.81
93,1,low,house,135.4,1,1,0,1,5,22.8,0.128,12.49
94,4,middle,house,93.3,0,0,0,0,7,36.1,0.247,10.82
95,3,middle,apartment,179.1,1,0,1,0,6,24.6,0.272,8.65
96,1,low,apartment,78.6,2,1,1,0,7,5.5,0.116,10.14
97,5,high,apartment,58.6,0,0,0,1,11,23.0,0.177,12.64
98,4,low,house,74.4,1,1,0,0,8,42.6,0.166,13.42
99,2,low,apartment,83.2,2,1,0,1,6,-2.2,0.309,10.26
100,6,middle,house,47.9,2,1,0,0,8,12.1,0.249,12.85
101,2,low,house,61.6,2,1,0,1,14,17.0,0.301,12.96
102,1,low,apartment,127.6,0,1,1,0,5,30.7,0.242,8.92
103,1,high,house,90.8,1,1,1,0,10,4.6,0.328,10.51
104,6,low,house,39.0,2,1,1,1,9,-2.4,0.144,18.85
105,1,low,house,61.9,1,0,0,1,13,32.4,0.225,11.74
106,1,high,house,59.4,0,0,0,0,5,28.9,0.134,7.03
107,2,low,apartment,100.9,0,1,0,0,5,32.1,0.188,8.54
108,2,low,apartment,118.6,1,0,1,1,9,5.8,0.1,15.5
109,5,low,house,100.7,1,1,0,0,14,27.9,0.195,13.16
110,1,middle,house,165.8,0,0,0,0,8,-2.6,0.261,8.83
111,4,middle,apartment,113.5,0,1,1,0,9,16.7,0.139,11.43
112,5,low,house,142.5,0,0,0,0,9,36.3,0.094,13.41
113,3,middle,house,110.3,2,1,0,0,9,26.0,0.277,11.26
114,1,low,house,127.1,0,1,0,0,5,12.5,0.271,6.87
115,1,middle,house,130.3,1,1,0,0,12,8.9,0.277,9.46
116,5,high,house,122.6,2,1,0,0,12,18.5,0.128,13.57
117,5,low,house,95.3,0,1,0,0,6,31.9,0.305,12.96
118,5,low,apartment,103.4,1,0,1,0,5,17.9,0.337,10.94
119,5,middle,house,112.7,0,1,0,1,12,26.0,0.173,14.76
120,4,low,house,35.0,1,1,0,0,6,29.6,0.193,9.53
121,4,low,house,151.9,0,0,0,0,11,16.1,0.307,11.48
122,1,low,house,108.7,0,1,1,0,14,29.2,0.281,9.36
123,1,middle,house,117.5,2,1,1,0,11,9.5,0.244,12.23
124,3,middle,house,60.8,0,1,0,0,8,23.8,0.178,9.64
125,3,middle,house,35.0,1,1,0,0,9,27.2,0.14,9.68
126,2,middle,house,79.1,2,1,0,0,7,34.2,0.172,11.83
127,4,middle,apartment,90.7,2,0,0,0,8,10.6,0.122,11.82
128,6,middle,house,69.4,0,0,0,0,8,23.0,0.288,9.95
129,3,middle,house,83.6,1,1,1,0,9,24.5,0.101,11.15
130,5,low,house,67.9,2,1,0,0,8,29.9,0.184,12.88
131,2,middle,house,37.1,1,0,0,0,12,10.1,0.247,8.89
132,3,middle,house,95.2,0,1,1,0,13,33.7,0.257,11.48
133,3,middle,house,78.9,2,0,0,0,5,36.6,0.09,10.64
134,4,low,apartment,86.6,0,0,0,1,11,17.4,0.206,12.64
135,5,high,house,48.1,0,1,0,0,6,25.2,0.173,11.85
136,2,high,house,159.7,1,0,1,0,13,10.5,0.21,12.06
137,5,high,house,87.9,0,1,0,0,13,16.9,0.112,11.58
138,4,middle,house,130.5,2,1,0,0,8,17.6,0.3,10.86
139,2,middle,house,107.6,1,0,0,0,11,19.4,0.126,8.87
140,2,middle,house,93.6,0,1,0,1,9,24.2,0.293,11.58
141,4,low,apartment,115.8,2,0,0,0,5,13.7,0.172,12.15
142,1,middle,house,102.9,2,1,0,0,10,20.3,0.294,11.26
143,5,low,apartment,141.8,1,1,0,0,14,8.7,0.23,13.77
144,5,low,apartment,80.1,2,0,0,0,12,5.3,0.168,12.46
145,5,high,apartment,126.2,1,1,0,0,7,29.0,0.122,13.84
146,1,low,apartment,90.6,2,0,0,0,9,9.1,0.133,10.86
147,4,high,house,76.2,1,1,0,0,11,11.7,0.332,10.5
148,6,middle,house,98.2,1,0,0,0,5,22.0,0.118,12.85
149,4,middle,apartment,114.9,1,1,1,0,12,23.3,0.287,11.26
150,1,low,apartment,96.4,1,1,0,0,7,13.8,0.338,7.82
151,5,middle,apartment,36.0,1,1,1,1,5,16.4,0.166,13.99
152,1,low,apartment,56.7,2,1,1,0,12,15.4,0.199,9.5
153,1,low,apartment,35.0,1,0,0,0,6,33.3,0.192,6.35
154,5,middle,house,103.9,1,1,0,0,12,34.0,0.142,13.16
155,4,middle,apartment,120.4,0,1,1,0,12,20.0,0.31,11.62
156,5,low,apartment,91.5,1,0,1,1,13,24.5,0.12,15.1
157,2,middle,house,133.5,2,0,0,0,10,16.1,0.107,10.28
158,3,middle,house,48.6,1,1,1,1,9,24.3,0.186,12.6
159,3,middle,house,197.0,0,1,0,0,8,12.2,0.131,12.17
160,5,middle,house,106.7,1,1,0,0,14,26.2,0.259,12.43
161,6,high,apartment,158.6,0,1,1,0,14,22.3,0.089,13.72
162,5,middle,house,90.2,0,0,1,0,12,18.0,0.272,10.36
163,2,middle,apartment,49.6,2,0,1,0,7,38.2,0.329,10.0
164,3,middle,house,118.5,2,0,0,0,13,6.6,0.266,13.47
165,2,low,apartment,172.6,1,1,0,0,8,29.0,0.218,11.31
166,2,high,apartment,112.4,1,0,1,0,11,10.4,0.225,10.26
167,1,middle,house,129.3,0,1,0,0,14,13.1,0.108,9.32
168,6,high,house,108.1,1,1,0,1,10,20.3,0.33,16.03
169,5,middle,house,174.7,2,0,0,0,14,11.7,0.275,14.32
170,5,low,house,94.8,1,1,0,0,5,10.3,0.334,11.09
171,5,middle,house,72.8,1,1,0,0,11,28.2,0.145,12.79
172,6,low,apartment,88.3,2,0,0,1,11,6.5,0.171,15.93
173,3,low,house,124.9,0,1,0,0,5,27.7,0.35,9.2
174,1,low,apartment,165.4,0,1,0,0,14,6.8,0.201,11.1
175,5,high,house,118.9,1,0,1,0,5,37.5,0.339,11.85
176,3,middle,house,82.2,0,1,0,0,7,31.6,0.117,10.75
177,1,low,house,134.0,0,1,0,0,10,18.0,0.145,9.56
178,5,low,house,46.3,2,1,0,1,9,26.0,0.169,14.4
179,5,middle,apartment,90.6,1,1,0,0,13,22.7,0.227,13.57
180,2,middle,apartment,164.5,1,1,0,0,8,17.3,0.327,9.97
181,5,low,house,35.0,1,1,0,0,12,18.3,0.132,11.68
182,1,high,house,88.0,1,1,0,0,7,39.4,0.266,8.51
183,6,middle,house,36.3,2,0,0,0,5,22.7,0.216,12.87
184,5,middle,apartment,169.9,0,0,0,0,14,18.3,0.249,14.19
185,1,middle,apartment,110.0,0,1,0,0,11,28.6,0.104,10.1
186,1,high,apartment,56.5,0,0,1,0,8,30.7,0.319,6.42
187,2,middle,house,70.7,1,0,0,0,6,31.2,0.315,8.14
188,5,middle,house,132.3,2,1,0,0,6,12.5,0.108,13.28
189,6,high,house,77.7,1,1,0,0,11,13.9,0.202,13.93
190,4,middle,house,111.2,1,1,0,0,10,27.9,0.296,11.64
191,3,high,house,78.1,1,1,0,1,10,14.0,0.291,12.24
192,5,low,apartment,114.2,1,1,0,0,11,24.1,0.11,12.82
193,4,middle,house,70.3,0,1,0,1,11,35.4,0.291,15.15
194,2,low,apartment,130.7,0,1,0,0,7,16.2,0.217,8.74
195,5,middle,apartment,143.2,1,1,0,0,8,27.0,0.296,13.88
196,2,high,house,57.5,0,1,0,0,9,31.4,0.174,11.14
197,4,middle,house,36.4,1,0,0,1,9,16.9,0.342,12.23
