household_id,household_size,income_level,property_type,dwelling_area_sqm,has_garden,num_bathrooms,has_dishwasher,has_washing_machine,occupants_children,water_price_per_m3,temperature_c,daily_consumption_liters
1,1,high,house,37.2,1,3,0,0,2,2.35,17.2,269.3
2,6,high,house,151.7,0,1,0,1,0,1.72,18.1,381.5
3,1,middle,house,73.0,0,2,1,1,2,0.74,17.7,248.0
4,4,low,house,125.0,0,3,1,1,1,1.53,23.9,383.5
5,3,middle,apartment,117.5,0,3,1,1,3,1.47,25.5,372.5
6,4,high,house,72.1,1,2,0,1,2,1.35,28.8,419.6
7,1,middle,house,75.9,0,2,1,0,3,1.63,15.4,225.6
8,3,low,house,52.3,1,1,0,1,1,1.53,18.5,332.7
9,2,low,apartment,45.3,1,1,1,1,3,1.28,22.3,360.2
10,4,low,apartment,64.5,0,1,0,1,0,2.13,20.4,291.2
11,6,middle,house,50.8,0,2,1,1,0,0.68,24.0,424.6
12,3,middle,house,132.4,1,1,1,1,3,1.48,26.4,394.9
13,5,high,house,122.1,0,1,0,1,0,2.19,22.1,323.1
14,5,middle,apartment,95.4,0,3,1,0,3,2.08,44.1,443.7
15,5,high,house,52.2,0,1,0,1,1,0.82,8.0,299.7
16,6,high,house,112.0,1,1,1,1,3,2.18,30.1,478.1
17,4,middle,house,69.7,0,1,0,1,0,1.97,26.1,287.1
18,5,low,house,38.4,0,2,1,1,1,2.28,24.1,375.8
19,3,high,apartment,35.3,0,1,0,1,1,1.79,31.3,301.9
20,4,low,house,52.4,0,3,0,1,2,1.91,39.3,365.2
21,4,middle,apartment,144.8,0,2,0,1,2,2.44,14.1,324.4
22,3,high,house,55.2,1,3,0,1,0,1.51,35.0,383.7
23,2,low,apartment,141.0,0,3,1,1,1,0.79,17.1,318.1
24,3,low,house,91.7,0,1,0,1,0,1.45,23.3,293.6
25,5,low,house,157.7,0,2,1,1,3,1.51,30.9,402.3
26,4,middle,apartment,117.3,1,2,1,1,3,1.13,23.2,444.6
27,6,middle,apartment,89.0,0,2,1,1,2,0.79,10.7,397.9
28,1,middle,apartment,62.4,1,1,0,0,2,1.17,25.3,259.1
29,5,low,apartment,93.8,0,1,1,1,2,2.17,20.0,336.4
30,4,middle,apartment,130.3,1,2,0,1,2,2.45,30.8,389.8
31,2,low,house,146.7,0,1,0,1,3,0.55,20.3,307.3
32,3,middle,apartment,119.1,0,3,1,1,2,0.74,27.6,343.9
33,1,high,house,97.9,0,3,0,1,1,1.21,18.5,247.3
34,5,middle,apartment,68.0,1,3,1,1,3,2.43,18.1,439.7
35,5,low,apartment,121.9,1,3,0,1,3,1.31,23.2,500.0
36,3,middle,house,99.1,0,3,0,1,1,0.58,19.9,324.3
37,5,low,apartment,98.5,1,3,1,1,3,1.66,29.8,479.8
38,3,middle,house,30.0,1,3,1,1,1,2.49,16.3,339.5
39,2,middle,house,80.9,0,2,1,1,3,1.1,18.9,338.8
40,1,low,house,79.4,0,1,0,1,1,1.47,32.4,207.6
41,3,low,house,124.5,0,2,0,1,2,0.98,15.0,310.9
42,6,low,house,126.2,1,3,1,1,3,0.81,28.8,532.0
43,3,high,apartment,92.0,0,1,1,1,1,1.57,22.4,290.7
44,2,high,house,185.3,0,3,1,1,2,2.14,16.7,286.9
45,6,low,apartment,59.4,0,2,0,0,1,1.13,39.5,412.9
46,1,low,apartment,112.9,1,1,0,1,0,1.28,14.8,241.7
47,2,middle,apartment,76.0,1,1,0,1,1,2.5,28.1,320.1
48,1,middle,house,105.2,0,3,0,1,1,1.89,32.7,275.2
49,3,middle,house,106.9,0,3,1,1,1,0.55,15.1,332.3
50,6,middle,house,68.9,1,2,0,1,1,2.3,30.5,465.0
51,2,middle,apartment,102.1,1,2,0,1,3,1.57,18.3,333.8
52,2,low,house,118.3,1,3,0,1,2,0.66,8.8,338.6
53,2,middle,apartment,71.9,0,1,1,1,3,0.58,31.9,313.1
54,5,middle,house,81.6,0,3,1,1,3,1.66,12.1,406.6
55,3,middle,apartment,48.0,0,3,0,0,1,1.7,17.4,269.2
56,4,middle,house,101.2,0,1,0,1,3,1.89,25.5,368.5
57,1,middle,house,95.7,1,1,1,1,0,2.28,27.6,295.9
58,4,middle,apartment,117.5,0,1,0,1,1,1.27,19.9,297.7
59,1,low,house,129.5,0,2,1,1,3,1.15,20.5,258.3
60,3,low,apartment,79.8,1,2,1,0,3,2.11,35.0,405.3
61,3,high,house,117.0,0,2,1,1,3,0.54,23.9,357.9
62,1,high,apartment,54.2,1,2,1,1,3,2.36,13.1,283.0
63,5,high,house,107.1,0,2,1,0,1,2.05,32.8,364.9
64,3,middle,apartment,95.8,0,3,1,1,3,1.96,17.0,373.8
65,1,middle,apartment,131.7,1,2,0,0,3,0.88,21.4,325.3
66,3,middle,house,73.2,1,1,1,0,3,1.65,21.8,299.9
67,5,middle,apartment,30.0,0,2,1,1,2,0.73,33.2,427.0
68,2,middle,apartment,102.9,0,1,1,1,3,2.12,13.8,248.7
69,6,low,apartment,110.1,0,1,1,1,1,2.42,35.6,441.4
70,4,high,apartment,84.4,0,3,1,1,0,2.27,22.7,382.7
71,1,low,apartment,57.4,1,1,0,1,1,0.64,20.6,250.2
72,3,middle,house,89.0,0,2,0,1,1,1.21,25.6,308.6
73,2,middle,house,116.4,1,1,1,1,2,2.23,23.1,349.6
74,5,low,house,116.0,0,1,0,1,0,1.76,39.4,358.3
75,1,middle,house,89.3,0,2,1,1,3,2.34,37.8,297.0
76,2,middle,house,93.3,1,1,1,1,1,2.09,24.5,304.1
77,6,low,house,116.8,1,2,1,1,2,1.06,18.5,483.9
78,2,low,house,38.4,1,3,0,1,2,2.04,30.9,350.9
79,6,middle,apartment,124.7,0,3,1,1,3,1.67,29.9,463.6
80,6,middle,house,147.9,0,1,0,1,2,1.51,26.4,412.0
81,2,low,apartment,81.4,1,2,1,1,1,1.18,23.3,360.7
82,3,middle,house,60.8,1,2,1,0,1,1.66,29.9,354.5
83,5,high,apartment,117.8,0,2,0,1,0,1.03,33.8,377.9
84,3,low,house,119.9,0,3,0,1,2,2.21,31.6,351.7
85,4,middle,house,88.0,1,3,1,1,1,2.24,9.8,382.5
86,5,low,house,49.6,1,3,0,1,1,1.34,25.2,439.8
87,6,high,apartment,30.0,0,2,1,1,0,2.37,17.2,396.0
88,3,middle,apartment,83.7,0,2,1,1,1,0.59,21.9,310.1
89,1,middle,house,90.1,0,3,1,0,1,0.99,26.3,268.5
90,3,middle,house,83.7,1,3,0,1,0,1.0,20.8,370.4
91,4,high,apartment,97.0,1,1,1,1,2,1.5,26.0,427.7
92,4,middle,house,52.8,1,2,1,1,3,1.45,14.3,374.6
93,1,middle,apartment,118.6,0,2,0,0,0,1.78,31.6,233.0
94,1,middle,apartment,135.2,1,2,1,1,1,1.66,16.9,275.7
95,6,high,house,75.9,1,1,0,1,0,0.88,29.4,428.4
96,4,middle,apartment,117.0,0,1,0,1,3,2.06,23.4,331.8
97,6,high,house,183.7,1,1,1,1,0,2.1,26.9,413.7
98,4,middle,house,44.7,1,1,0,1,3,0.68,20.2,418.9
99,6,middle,apartment,58.1,1,3,0,1,0,0.9,17.5,452.6
100,1,middle,apartment,77.9,0,2,1,1,0,2.48,21.0,237.2
101,1,middle,apartment,82.5,1,1,0,1,1,0.65,11.4,255.2
102,3,low,apartment,141.7,0,1,0,1,2,0.98,26.1,330.4
103,6,low,apartment,48.0,1,1,1,1,1,1.25,25.6,437.8
104,4,middle,apartment,141.4,0,2,1,1,3,0.75,34.2,411.1
105,2,middle,apartment,93.2,0,1,0,0,0,1.24,28.1,239.3
106,6,middle,house,144.0,0,2,1,1,1,1.48,20.4,414.0
107,3,middle,house,80.7,0,2,0,1,1,1.62,28.1,290.4
108,4,middle,apartment,78.1,0,2,0,1,0,1.91,28.3,347.7
109,5,high,apartment,110.1,0,2,1,1,3,0.94,13.9,382.9
110,4,middle,apartment,30.0,0,1,1,1,2,1.28,19.5,316.5
111,4,middle,apartment,81.9,0,1,0,1,1,1.99,22.9,281.1
112,2,low,apartment,83.0,0,1,1,1,0,2.05,23.1,246.9
113,5,middle,apartment,157.1,1,1,1,1,1,1.18,25.4,442.3
114,3,middle,apartment,161.6,1,1,1,1,1,1.99,9.9,338.9
115,4,middle,apartment,82.6,1,1,1,0,2,1.95,29.9,372.1
116,1,high,apartment,107.4,0,1,1,1,1,1.02,21.3,236.0
117,1,low,house,104.7,0,2,0,1,1,0.59,21.2,251.8
118,3,low,house,83.2,0,3,0,1,2,1.63,28.0,323.1
119,6,low,house,58.1,1,2,0,1,0,1.93,25.8,415.4
120,5,low,house,80.5,1,3,0,1,3,1.21,16.1,456.9
121,5,high,apartment,157.4,0,2,0,1,3,1.51,27.3,395.0
122,4,middle,apartment,106.2,0,2,1,0,2,2.07,21.9,344.0
123,3,low,house,133.2,0,3,1,1,1,2.16,16.8,335.8
